"Binomial.1.2","Condition_Met"
"Chrotomys_sibuyanensis",0
"Chrotomys_silaceus",0
"Chrotomys_whiteheadi",0
"Chrysochloris_asiatica",0
"Chrysochloris_stuhlmanni",0
"Chrysochloris_visagiei",0
"Chrysocyon_brachyurus",0
"Chrysospalax_trevelyani",0
"Chrysospalax_villosus",0
"Civettictis_civetta",0
"Clyomys_laticeps",0
"Coccymys_albidens",0
"Coccymys_ruemmleri",0
"Coelodonta_antiquitatis",1
"Coendou_baturitensis",0
"Coendou_bicolor",0
"Coendou_ichillus",0
"Coendou_insidiosus",0
"Coendou_melanurus",0
"Coendou_mexicanus",0
"Coendou_nycthemera",0
"Coendou_prehensilis",0
"Coendou_pruinosus",0
"Coendou_quichua",0
"Coendou_roosmalenorum",0
"Coendou_rufescens",0
"Coendou_spinosus",0
"Coendou_vestitus",0
"Colobus_angolensis",1
"Colobus_guereza",1
"Colobus_polykomos",0
"Colobus_satanas",1
"Colobus_vellerosus",1
"Colomys_goslingi",0
"Condylura_cristata",0
"Conepatus_chinga",0
"Conepatus_humboldtii",0
"Conepatus_leuconotus",0
"Conepatus_semistriatus",0
"Congosorex_phillipsorum",0
"Congosorex_polli",0
"Congosorex_verheyeni",0
"Conilurus_albipes",0
"Conilurus_capricornensis",0
"Conilurus_penicillatus",0
"Connochaetes_gnou",1
"Connochaetes_taurinus",1
"Coryphomys_buehleri",0
"Coryphomys_musseri",0
"Crateromys_australis",0
"Crateromys_heaneyi",0
"Crateromys_paulus",0
"Crateromys_schadenbergi",0
"Cratogeomys_castanops",0
"Cratogeomys_fulvescens",0
"Cratogeomys_fumosus",0
"Cratogeomys_goldmani",0
"Cratogeomys_merriami",0
"Cratogeomys_perotensis",0
"Cratogeomys_planiceps",0
"Cremnomys_cutchicus",0
"Cremnomys_elvira",0
"Cricetomys_emini",0
"Cricetomys_gambianus",0
"Cricetulus_alticola",0
"Cricetulus_barabensis",0
"Cricetulus_kamensis",0
"Cricetulus_lama",0
"Cricetulus_longicaudatus",0
"Cricetulus_migratorius",0
"Cricetulus_sokolovi",0
"Cricetulus_tibetanus",0
"Cricetus_cricetus",0
"Crocidura_aleksandrisi",0
"Crocidura_allex",0
"Crocidura_andamanensis",0
"Crocidura_ansellorum",0
"Crocidura_arabica",0
"Crocidura_arispa",0
"Crocidura_armenica",0
"Crocidura_attenuata",0
"Crocidura_attila",0
"Crocidura_baileyi",0
"Crocidura_baluensis",0
"Crocidura_batesi",0
"Crocidura_beatus",0
"Crocidura_beccarii",0
"Crocidura_bottegi",0
"Crocidura_bottegoides",0
"Crocidura_brunnea",0
"Crocidura_buettikoferi",0
"Crocidura_caliginea",0
"Crocidura_canariensis",0
"Crocidura_caspica",0
"Crocidura_cinderella",0
"Crocidura_congobelgica",0
"Crocidura_crenata",0
"Crocidura_crossei",0
"Crocidura_cyanea",0
"Crocidura_denti",0
"Crocidura_desperata",0
"Crocidura_dhofarensis",0
"Crocidura_dolichura",0
"Crocidura_douceti",0
"Crocidura_dsinezumi",0
"Crocidura_eisentrauti",0
"Crocidura_elgonius",0
"Crocidura_elongata",0
"Crocidura_erica",0
"Crocidura_fischeri",0
"Crocidura_flavescens",0
"Crocidura_floweri",0
"Crocidura_foetida",0
"Crocidura_foxi",0
"Crocidura_fuliginosa",0
"Crocidura_fulvastra",0
"Crocidura_fumosa",0
"Crocidura_fuscomurina",0
"Crocidura_glassi",0
"Crocidura_gmelini",0
"Crocidura_goliath",0
"Crocidura_gracilipes",0
"Crocidura_grandiceps",0
"Crocidura_grandis",0
"Crocidura_grassei",0
"Crocidura_grayi",0
"Crocidura_greenwoodi",0
"Crocidura_harenna",0
"Crocidura_hikmiya",0
"Crocidura_hildegardeae",0
"Crocidura_hilliana",0
"Crocidura_hirta",0
"Crocidura_hispida",0
"Crocidura_horsfieldii",0
"Crocidura_hutanis",0
"Crocidura_indochinensis",0
"Crocidura_jacksoni",0
"Crocidura_jenkinsi",0
"Crocidura_jouvenetae",0
"Crocidura_katinka",0
"Crocidura_kivuana",0
"Crocidura_lamottei",0
"Crocidura_lanosa",0
"Crocidura_lasiura",0
"Crocidura_latona",0
"Crocidura_lea",0
"Crocidura_lepidura",0
"Crocidura_leucodon",0
"Crocidura_levicula",0
"Crocidura_littoralis",0
"Crocidura_longipes",0
"Crocidura_lucina",0
"Crocidura_ludia",0
"Crocidura_luna",0
