"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"2096","Vachellia cornigera","2.0-7.0",1,0,NA,"","","","","","",NA,"1.0-12.0","","","14.0-43.0","4.50-7.80","1.00-2.00","","","","","","","",NA,"","","","6.0-8.0","18.00-20.00",2,0,0,2,0,1,"",1,"8.0",0,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,12,6.5,NA,NA,NA,14,43,28.5,4.5,7.8,6.15,1,2,1.5,6,8,7,18,20,19,NA,NA,NA,2,7,4.5,1
"2097","Vachellia davyi","5.0",1,NA,5,"7.00-16.00","","","","","",NA,"10.0-18.0","20.00-50.00","","20.0-36.0","2.00-6.00","0.60-0.75","","","","","","","",NA,"","","","5.0-17.0","5.00-8.00",3,6,0,2,NA,1,"",2,"",1,NA,NA,"0.6-0.8","0.30-0.55","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",7,16,11.5,NA,NA,NA,10,18,14,20,50,35,20,36,28,2,6,4,0.6,0.75,0.675,5,17,11,5,8,6.5,0.6,0.8,0.7,5,5,5,1
"2098","Vachellia ditricha","5.0",1,0,5,"","","12.00-140.00","1.00-10.00","","",NA,"5.0-50.0","4.00-20.00","","9.0-30.0","0.40-1.80","0.20-0.70","","","","","","","",NA,"","","","3.0-8.0","10.00-18.00",NA,5,1,23,1,1,"",2,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,12,140,76,5,50,27.5,4,20,12,9,30,19.5,0.4,1.8,1.1,0.2,0.7,0.45,3,8,5.5,10,18,14,NA,NA,NA,5,5,5,1
"2099","Vachellia douglasica","5.0-7.0",0,0,5,"40.00-67.00","","","","","",NA,"11.0-22.0","15.00-30.00","","20.0-35.0","1.60-2.20","0.50-0.70","","","","","","","",NA,"","","","6.5","10.00-15.00",35,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"1.0","0.90","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",40,67,53.5,NA,NA,NA,11,22,16.5,15,30,22.5,20,35,27.5,1.6,2.2,1.9,0.5,0.7,0.6,6.5,6.5,6.5,10,15,12.5,1,1,1,5,7,6,1
"2100","Vachellia erioloba","4.5-22.0",0,0,5,"","","","","","",NA,"1.0-5.0","","","6.0-15.0","4.50-13.00","1.50-4.50","","","","","","","",NA,"","","","4.0-11.0","25.00-47.00",8,1,0,2,2,1,"",2,"",0,NA,1,"0.8-1.3","0.70-1.00","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,5,3,NA,NA,NA,6,15,10.5,4.5,13,8.75,1.5,4.5,3,4,11,7.5,25,47,36,0.8,1.3,1.05,4.5,22,13.25,1
"2101","Vachellia exuvialis","1.5-5.0",1,0,5,"","","","","","",NA,"1.0-6.0","","","3.0-6.0","3.00-10.00","1.50-4.50","","","","","","","",NA,"","","","2.0-3.5","6.00-8.00",NA,1,1,2,NA,NA,"",NA,"",1,2,NA,"0.6-0.7","0.40-0.56","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,6,3.5,NA,NA,NA,3,6,4.5,3,10,6.5,1.5,4.5,3,2,3.5,2.75,6,8,7,0.6,0.7,0.65,1.5,5,3.25,1
"2102","Vachellia farnesiana","4.0",1,0,5,"","","3.00-55.00","2.00-20.00","","",NA,"1.0-7.0","7.00-50.00","","5.0-23.0","1.20-15.00","0.50-3.50","","","","","","","",NA,"","","","1.5-8.5","8.00-17.00",36,0,0,NA,0,1,"",3,"",0,NA,1,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,55,29,1,7,4,7,50,28.5,5,23,14,1.2,15,8.1,0.5,3.5,2,1.5,8.5,5,8,17,12.5,NA,NA,NA,4,4,4,1
"2103","Vachellia gerrardii","3.0-15.0",1,NA,5,"","","15.00-70.00","","","",NA,"3.0-12.0","","","8.0-28.0","3.00-7.50","1.00-2.00","","","","","","","",NA,"","","","4.5-22.0","6.00-17.00",NA,1,3,5,NA,1,"",2,"",1,12,NA,"0.9-1.2","0.70","",3,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,15,70,42.5,3,12,7.5,NA,NA,NA,8,28,18,3,7.5,5.25,1,2,1.5,4.5,22,13.25,6,17,11.5,0.9,1.2,1.05,3,15,9,1
"2104","Vachellia grandicornuta","3.0-10.0",0,NA,5,"","","5.00-25.00","","","",NA,"1.0-4.0","","","5.0-15.0","3.50-10.00","1.00-4.00","","","","","","","",NA,"","","","6.0-11.5","6.00-11.00",36,16,0,3,2,1,"",NA,"",1,NA,NA,"0.9-1.0","0.55-0.70","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,5,25,15,1,4,2.5,NA,NA,NA,5,15,10,3.5,10,6.75,1,4,2.5,6,11.5,8.75,6,11,8.5,0.9,1,0.95,3,10,6.5,1
"2105","Vachellia haematoxylon","1.0-6.0",1,NA,5,"","","8.00-50.00","1.00-5.00","","",NA,"15.0-27.0","5.00-12.00","","","0.25-0.75","0.50","","","","","","","",NA,"","","","9.0-14.0","9.00-13.00",NA,1,0,1,2,1,"",NA,"",0,NA,NA,"0.9-1.1","0.60-0.80","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,8,50,29,15,27,21,5,12,8.5,NA,NA,NA,0.25,0.75,0.5,0.5,0.5,0.5,9,14,11.5,9,13,11,0.9,1.1,1,1,6,3.5,1
"2106","Vachellia hockii","1.0-12.0",1,0,5,"","","","","","",NA,"1.0-11.0","","","9.0-29.0","2.00-6.50","0.50-1.25","","","","","","","",NA,"","","","4.0-14.0","3.00-8.00",NA,6,1,NA,1,1,"",2,"",1,NA,NA,"0.5-0.7","0.30-0.40","",3,"4.0-10.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,11,6,NA,NA,NA,9,29,19,2,6.5,4.25,0.5,1.25,0.875,4,14,9,3,8,5.5,0.5,0.7,0.6,1,12,6.5,1
"2107","Vachellia karroo","4.0-17.0",0,0,5,"3.00-6.00","","","","","",NA,"2.0-6.0","","","8.0-20.0","4.00-7.00","1.50-3.00","","","","","","","",NA,"","","","4.0-21.0","5.00-11.00",3,6,4,NA,NA,NA,"",NA,"",1,4,NA,"0.5-0.6","0.20-0.35","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",3,6,4.5,NA,NA,NA,2,6,4,NA,NA,NA,8,20,14,4,7,5.5,1.5,3,2.25,4,21,12.5,5,11,8,0.5,0.6,0.55,4,17,10.5,1
"2108","Vachellia kirkii","2.5-15.0",0,NA,5,"","","3.00-8.00","","","",NA,"6.0-14.0","","","10.0-14.0","2.00-5.00","0.50-1.25","","","","","","","",NA,"","","","3.5-9.0","0.80-2.50",NA,0,4,NA,NA,NA,"",NA,"",0,NA,NA,"0.5-0.7","0.45-0.55","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,8,5.5,6,14,10,NA,NA,NA,10,14,12,2,5,3.5,0.5,1.25,0.875,3.5,9,6.25,0.8,2.5,1.65,0.5,0.7,0.6,2.5,15,8.75,1
"2109","Vachellia kosiensis","8.0-10.0",0,NA,5,"","","","","","",NA,"15.0","35.00","","9.0-16.0","6.00","1.00","","","","","","","",NA,"","","","9.0-19.0","8.00",2,6,4,2,2,1,"",3,"2.0-11.0",1,2,NA,"","","",NA,"6.0-12.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,15,15,15,35,35,35,9,16,12.5,6,6,6,1,1,1,9,19,14,8,8,8,NA,NA,NA,8,10,9,1
"2110","Vachellia luederitzii","1.0-12.0",1,NA,5,"","","10.00-40.00","","","",NA,"2.0-12.0","","","10.0-26.0","2.00-5.00","0.50-1.50","","","","","","","",NA,"","","","3.2-13.0","10.00-19.00",3,2,0,2,NA,1,"",2,"",1,NA,NA,"0.7-1.2","0.50-1.00","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,10,40,25,2,12,7,NA,NA,NA,10,26,18,2,5,3.5,0.5,1.5,1,3.2,13,8.1,10,19,14.5,0.7,1.2,0.95,1,12,6.5,1
"2111","Vachellia macracantha","7.0",0,NA,5,"25.00","","","12.00","","",NA,"11.0-45.0","","","","2.50-4.50","0.70-1.20","","","","","","","",NA,"","","","7.0-10.0","7.00-12.00",NA,2,NA,NA,NA,NA,"",3,"",0,NA,NA,"","0.25","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",25,25,25,NA,NA,NA,11,45,28,NA,NA,NA,NA,NA,NA,2.5,4.5,3.5,0.7,1.2,0.95,7,10,8.5,7,12,9.5,NA,NA,NA,7,7,7,1
"2112","Vachellia myrmecophila","",0,NA,5,"","","","","","",NA,"2.0-3.0","","","6.0-8.0","5.00-8.00","1.50","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,2,3,2.5,NA,NA,NA,6,8,7,5,8,6.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2113","Vachellia nebrownii","4.0",0,NA,5,"","","9.00","3.00-14.00","","",NA,"1.0-2.0","","","3.0-5.0","2.00-8.00","1.00-5.00","","","","","","","",NA,"","","","2.0-4.7","9.00-11.00",3,1,NA,NA,NA,NA,"",NA,"",1,NA,NA,"0.8-1.0","0.60-0.70","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,9,9,9,1,2,1.5,NA,NA,NA,3,5,4,2,8,5,1,5,3,2,4.7,3.35,9,11,10,0.8,1,0.9,4,4,4,1
"2114","Vachellia nilotica","1.2-14.0",0,NA,5,"","","","","","",NA,"2.0-17.0","","","7.0-30.0","1.50-7.00","0.50-1.50","","","","","","","",NA,"","","","4.0-24.0","13.00-22.00",8,6,4,1,NA,1,"",2,"",0,NA,NA,"0.7-0.9","0.60-0.70","",NA,"8.0-16.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,2,17,9.5,NA,NA,NA,7,30,18.5,1.5,7,4.25,0.5,1.5,1,4,24,14,13,22,17.5,0.7,0.9,0.8,1.2,14,7.6,1
"2115","Vachellia ormocarpoides","5.0",0,NA,5,"","","","","","",NA,"2.0","","","7.0-9.0","7.00-11.00","1.86-2.39","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,7,9,8,7,11,9,1.86,2.39,2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1
"2116","Vachellia oviedoensis","5.0",0,NA,5,"","","","","","",NA,"1.0","1.50-6.20","","1.0-4.0","5.00-9.50","2.00-5.50","","","","","","","",NA,"","","","2.0-4.0","5.00-7.00",3,15,0,2,NA,1,"",NA,"",1,3,NA,"0.3-0.4","0.25-0.35","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,1.5,6.2,3.85,1,4,2.5,5,9.5,7.25,2,5.5,3.75,2,4,3,5,7,6,0.3,0.4,0.35,5,5,5,1
"2117","Vachellia pachyphloia","2.0-14.0",1,0,5,"","","5.00-18.00","12.00-75.00","","",NA,"1.0-11.0","40.00-198.00","","8.0-54.0","3.00-35.00","1.50-9.50","","","","","","","",NA,"","","","4.0-18.3","8.00-17.50",8,6,1,23,NA,1,"",2,"",NA,NA,NA,"1.2","0.90","",NA,"3.0-6.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,5,18,11.5,1,11,6,40,198,119,8,54,31,3,35,19,1.5,9.5,5.5,4,18.3,11.15,8,17.5,12.75,1.2,1.2,1.2,2,14,8,1
"2118","Vachellia pennatula","3.0-15.0",1,NA,NA,"20.00","20.00-80.00","","","","",NA,"17.0-48.0","","","","0.80-2.00","0.40-0.70","","","","","","","",NA,"","","","6.0-12.0","15.00-30.00",NA,0,NA,34,NA,1,"",NA,"",1,7,1,"0.7","0.23","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",20,20,20,NA,NA,NA,17,48,32.5,NA,NA,NA,NA,NA,NA,0.8,2,1.4,0.4,0.7,0.55,6,12,9,15,30,22.5,0.7,0.7,0.7,3,15,9,1
"2119","Vachellia permixta","1.2-5.0",1,0,5,"","","","","","",NA,"1.0-4.0","","","5.0-10.0","2.00-6.00","1.00-3.00","","","","","","","",NA,"","","","2.0-6.5","6.00-10.00",NA,5,0,5,1,1,"",3,"",1,NA,NA,"0.5-0.6","0.40-0.50","",3,"4.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,4,2.5,NA,NA,NA,5,10,7.5,2,6,4,1,3,2,2,6.5,4.25,6,10,8,0.5,0.6,0.55,1.2,5,3.1,1
"2120","Vachellia reficiens","1.0-6.0",1,NA,5,"","","3.00-12.00","","","",NA,"1.0-3.0","","","5.0-11.0","2.00-4.50","0.50-1.25","","","","","","","",NA,"","","","3.0-5.0","9.00-12.00",36,0,0,NA,NA,1,"",3,"",1,NA,NA,"0.5-0.8","0.40-0.50","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,12,7.5,1,3,2,NA,NA,NA,5,11,8,2,4.5,3.25,0.5,1.25,0.875,3,5,4,9,12,10.5,0.5,0.8,0.65,1,6,3.5,1
"2121","Vachellia rehmanniana","8.0-10.0",0,0,5,"","","24.00-120.00","0.10-0.50","","",NA,"15.0-44.0","","","20.0-48.0","1.20-2.80","0.40-0.90","","","","","","","",NA,"","","","2.9-14.0","10.00-22.00",NA,0,0,NA,NA,1,"",23,"",1,2,NA,"0.5-0.8","0.40-0.70","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,24,120,72,15,44,29.5,NA,NA,NA,20,48,34,1.2,2.8,2,0.4,0.9,0.65,2.9,14,8.45,10,22,16,0.5,0.8,0.65,8,10,9,1
"2122","Vachellia robusta","2.0-25.0",0,NA,5,"","","25.00-70.00","","","",NA,"2.0-10.0","","","9.0-27.0","2.00-16.00","1.00-7.00","","","","","","","",NA,"","","","7.0-19.0","7.00-30.00",3,1,NA,3,NA,1,"",3,"",1,NA,NA,"0.8-1.5","0.50-0.90","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,70,47.5,2,10,6,NA,NA,NA,9,27,18,2,16,9,1,7,4,7,19,13,7,30,18.5,0.8,1.5,1.15,2,25,13.5,1
"2123","Vachellia schottii","",1,NA,NA,"","","","","","",NA,"1.0","","","3.0-5.0","4.00","","","","","","","","",NA,"","","","5.0-7.5","",NA,1,12,2,1,1,"1.0",3,"",NA,NA,NA,"","","",NA,"6.0-9.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,5,4,4,4,4,NA,NA,NA,5,7.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2124","Vachellia sekhukhuniensis","4.0-5.0",0,NA,5,"","","","","","",NA,"","","","3.0-7.0","10.00-12.00","3.00-7.00","","","","","","","",NA,"","","","1.5-5.0","10.00",NA,6,0,NA,1,1,"",3,"4.0",1,2,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,10,12,11,3,7,5,1.5,5,3.25,10,10,10,NA,NA,NA,4,5,4.5,1
"2125","Vachellia sieberiana","5.0-18.0",0,NA,5,"","","25.00-100.00","","","",NA,"6.0-35.0","","","14.0-45.0","2.00-6.50","0.50-1.50","","","","","","","",NA,"","","","8.0-21.0","15.00-35.00",NA,1,NA,NA,NA,1,"",2,"",1,7,NA,"0.9-1.2","0.70-0.80","",10,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,100,62.5,6,35,20.5,NA,NA,NA,14,45,29.5,2,6.5,4.25,0.5,1.5,1,8,21,14.5,15,35,25,0.9,1.2,1.05,5,18,11.5,1
"2126","Vachellia stuhlmannii","6.0",0,NA,5,"","","","","","",NA,"4.0-12.0","","","7.0-25.0","2.00-55.00","1.00-1.50","","","","","","","",NA,"","","","2.0-9.0","10.00-25.00",36,NA,1,NA,NA,1,"",2,"",0,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,4,12,8,NA,NA,NA,7,25,16,2,55,28.5,1,1.5,1.25,2,9,5.5,10,25,17.5,NA,NA,NA,6,6,6,1
"2127","Vachellia suberosa","14.0",1,0,5,"","","1.00-2.50","1.00-7.00","","",NA,"1.0-2.0","3.00-18.00","","5.0-19.0","1.10-4.50","0.40-1.30","","","","","","","",NA,"","","","4.0-20.0","7.00-14.00",23,16,0,2,1,1,"",2,"",NA,NA,NA,"1.5","0.80","(3)",1,"4.0-7.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,1,2.5,1.75,1,2,1.5,3,18,10.5,5,19,12,1.1,4.5,2.8,0.4,1.3,0.85,4,20,12,7,14,10.5,1.5,1.5,1.5,14,14,14,1
"2128","Vachellia sutherlandii","3.0-15.0",1,0,5,"","","50.00-230.00","8.00-30.00","","",NA,"6.0-33.0","16.00-82.00","","9.0-31.0","1.50-7.00","0.50-1.70","","","","","","","",NA,"","","","3.5-25.0","10.00-23.00",NA,6,0,2,1,1,"",0,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,50,230,140,6,33,19.5,16,82,49,9,31,20,1.5,7,4.25,0.5,1.7,1.1,3.5,25,14.25,10,23,16.5,NA,NA,NA,3,15,9,NA
"2129","Vachellia swazica","1.0-3.0",1,0,5,"","","","","","",NA,"1.0-3.0","","","3.0-7.0","2.00-12.00","1.50-5.50","","","","","","","",NA,"","","","2.0-5.5","0.80-1.20",NA,0,0,NA,NA,1,"",NA,"",1,2,NA,"0.6","0.50-0.55","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,3,7,5,2,12,7,1.5,5.5,3.5,2,5.5,3.75,0.8,1.2,1,0.6,0.6,0.6,1,3,2,1
"2130","Vachellia torrei","1.0-2.0",1,0,5,"","","","","","",NA,"7.0-13.0","","","6.0-15.0","3.00-6.50","1.00-2.00","","","","","","","",NA,"","","","3.0-6.0","8.00-10.00",NA,16,1,2,1,1,"",2,"",1,NA,NA,"0.5-0.6","0.50-0.60","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,7,13,10,NA,NA,NA,6,15,10.5,3,6.5,4.75,1,2,1.5,3,6,4.5,8,10,9,0.5,0.6,0.55,1,2,1.5,1
"2131","Vachellia tortilis","4.0-21.0",0,NA,5,"","","2.00","","","",NA,"2.0-10.0","2.00-17.00","","6.0-19.0","0.50-6.00","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,0,"",2,"",0,NA,1,"0.7","0.45-0.60","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,2,2,2,2,10,6,2,17,9.5,6,19,12.5,0.5,6,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,4,21,12.5,1
"2132","Vachellia valida","12.0",1,0,5,"","","33.00-305.00","3.00-17.00","","",NA,"6.0-45.0","7.00-60.00","","11.0-43.0","1.50-6.30","0.50-1.70","","","","","","","",NA,"","","","4.5-25.5","14.00-31.50",NA,0,0,3,2,1,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,33,305,169,6,45,25.5,7,60,33.5,11,43,27,1.5,6.3,3.9,0.5,1.7,1.1,4.5,25.5,15,14,31.5,22.75,NA,NA,NA,12,12,12,1
"2133","Vachellia vernicosa","1.0-2.0",1,0,NA,"","","","3.00-7.00","","",NA,"1.0-4.0","","","7.0-9.0","1.00-3.00","","","","","","","","",NA,"","","","4.0-7.0","3.00-5.00",NA,6,1,NA,NA,1,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,4,2.5,NA,NA,NA,7,9,8,1,3,2,NA,NA,NA,4,7,5.5,3,5,4,NA,NA,NA,1,2,1.5,1
"2134","Vachellia xanthophloea","30.0",0,0,5,"","","25.00-70.00","1.00-15.00","","",NA,"1.0-8.0","","0.30-3.00","8.0-17.0","2.50-6.50","0.75-1.75","","","","","","","",NA,"","","","3.4-13.5","7.00-14.00",3,0,4,2,NA,1,"",NA,"",0,NA,NA,"0.5-0.7","0.35-0.50","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,70,47.5,1,8,4.5,NA,NA,NA,8,17,12.5,2.5,6.5,4.5,0.75,1.75,1.25,3.4,13.5,8.45,7,14,10.5,0.5,0.7,0.6,30,30,30,1
"2135","Viguieranthus ambongensis","3.0-4.0",1,NA,5,"","","","","","",NA,"1.0","","","5.0-7.0","12.00-14.00","6.00-8.00","","","","","","","",NA,"","","","10.0","5.00",NA,6,0,NA,1,1,"",2,"",1,1,NA,"0.6","0.40","",NA,"4.0-5.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,5,7,6,12,14,13,6,8,7,10,10,10,5,5,5,0.6,0.6,0.6,3,4,3.5,0
"2136","Viguieranthus densinervus","1.5-6.0",1,0,5,"","","","4.00-14.00","","",NA,"1.0","","","11.0-17.0","9.00","4.00","","","","","","","",NA,"","","","12.0","5.00",NA,6,2,NA,1,1,"",23,"",1,1,NA,"1.3","0.60","",NA,"3.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,11,17,14,9,9,9,4,4,4,12,12,12,5,5,5,1.3,1.3,1.3,1.5,6,3.75,0
"2137","Viguieranthus glaber","2.0-12.0",1,NA,5,"","","","2.00-13.00","","",2,"1.0","10.00-35.00","","7.0-23.0","16.00","7.00","","","","","","","",NA,"","","","13.5","1.00",6,6,0,NA,NA,1,"",2,"",1,1,NA,"1.1","0.60","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,10,35,22.5,7,23,15,16,16,16,7,7,7,13.5,13.5,13.5,1,1,1,1.1,1.1,1.1,2,12,7,0
